Age,Annual_Income,Spending_Score,Monthly_Visits,Discount_Applied,Satisfaction_Rating,Churn
43,85593.55436586002,30,10,0,4,0
36,72446.33682912769,95,11,0,5,0
45,74596.30369920174,75,2,1,5,0
56,80730.63222294426,99,5,1,1,0
35,68982.2331361359,72,5,0,5,0
35,65934.8538542175,3,6,1,1,1
56,96151.93220027733,14,12,1,5,0
47,82751.7180168197,60,5,1,2,0
32,68895.52715319335,77,7,1,3,0
44,67447.64788439432,45,7,0,1,1
32,71573.94065634326,96,13,1,1,0
32,60375.996046923996,34,9,1,4,0
40,88752.60872625266,45,8,0,5,0
18,34708.12181910432,61,8,0,3,0
18,58959.63803165249,83,4,0,4,0
31,59179.10783462648,16,10,0,4,0
25,43485.819963855516,66,13,1,2,0
41,64361.141659456785,40,6,1,1,0
27,49196.5269180568,17,9,0,1,0
21,49441.65946401916,34,9,1,3,0
55,91228.354880355,16,9,1,2,0
35,56262.99996061421,60,3,0,1,0
38,65356.45407739017,66,8,0,2,0
20,65422.70358611864,66,9,0,1,0
31,74475.43170100711,90,7,0,5,0
39,71163.23669674032,13,6,0,1,1
24,49180.034781682,56,4,0,3,0
42,71600.31326718262,31,16,1,3,0
30,62135.17972730417,34,11,1,3,0
34,50572.07434801594,39,9,0,1,0
30,53426.23462576655,67,7,0,2,0
60,75314.15926122411,8,13,1,1,0
37,68392.2312260528,87,4,1,3,0
25,56471.959397027415,78,10,1,2,0
47,71568.13537700626,55,8,1,3,0
23,63339.86763290033,27,8,0,4,0
40,55742.34336997659,93,5,0,3,0
18,26956.251197901798,53,9,1,3,0
22,48644.51818559972,39,5,0,3,0
40,78470.98302612154,65,6,1,4,0
46,92039.27691457869,17,8,1,2,0
40,63411.157371310605,30,5,1,4,0
36,73986.80833431295,53,13,0,4,0
34,60414.91530499293,13,11,1,3,0
20,42273.7270005918,21,9,1,2,0
29,63636.599374866724,19,6,0,3,0
32,64923.2287841342,53,9,0,1,0
50,64236.078430157504,19,9,1,1,0
42,85165.40349725896,57,3,1,1,0
18,55400.91354147452,25,7,1,2,0
41,62944.37298490471,86,8,0,3,0
33,63558.035334374086,31,8,1,4,0
29,59740.301862827386,81,7,1,2,0
45,76606.73765823907,55,6,1,5,0
50,74496.9484615458,23,5,1,5,0
49,72083.76632061948,32,10,1,5,0
27,52144.45929008555,62,5,1,4,0
34,72527.29019259365,74,8,0,3,0
41,74636.00154594432,10,8,1,1,1
49,75093.85667913895,72,8,1,3,0
32,66116.98710648344,54,6,0,3,0
35,33514.573793699245,52,8,1,4,0
24,60287.65700372103,20,7,1,5,0
23,30202.862212219003,32,10,0,3,0
47,72775.59058596868,14,7,0,2,1
54,73603.30105373856,50,8,1,2,0
37,51453.18524279094,28,9,0,1,0
50,91608.2678737852,53,8,1,3,0
42,65722.98798688108,24,6,0,3,0
30,59465.038817307155,79,9,1,4,0
42,69930.79421120815,22,7,0,3,0
56,91970.40827223122,30,8,0,5,0
37,65168.218910602554,63,11,1,3,0
56,74370.0777581143,4,7,1,4,1
18,51562.6681944714,77,9,0,1,0
47,71462.43416838687,59,8,0,5,0
39,51234.181013402485,87,6,1,4,0
34,56518.84839034088,8,6,1,2,0
39,81807.59790634312,82,14,1,2,0
18,50102.21742113493,12,12,1,5,0
35,58513.47865592141,31,5,1,1,0
42,66907.42295681572,78,12,1,3,0
55,82783.64948782617,34,8,1,2,0
31,77967.4798356084,82,7,1,4,0
28,57419.35452231554,98,4,0,4,0
31,61500.41647191069,75,5,0,3,0
48,87902.83454031842,76,5,0,3,0
41,71587.89159026514,49,4,0,5,0
31,54609.57854179297,79,7,0,4,0
44,70836.50150915021,57,9,1,5,0
39,66083.98740585936,95,7,1,3,0
49,78427.77763490158,93,6,1,2,0
29,62076.29543636979,26,7,0,3,0
34,61319.45885807299,18,4,0,4,0
33,66926.40077215579,96,9,1,1,0
20,43192.83419891418,86,10,0,2,0
41,69986.3519031609,38,11,1,1,0
41,49217.99315467892,81,11,1,3,0
38,74763.27674702482,87,8,0,4,0
35,65464.884758979926,88,10,0,1,0
21,55180.101098596526,50,9,1,4,0
32,29437.44621806311,8,8,1,5,0
33,80483.74704780728,41,3,1,2,0
28,52204.10371844826,6,5,1,4,0
36,74281.82816737516,69,7,0,5,0
42,60000.940728744696,44,7,1,5,0
60,98127.73905062569,64,8,0,2,0
40,57465.84436826344,29,5,0,1,0
41,62962.310393041946,28,7,1,1,0
37,83540.31353866786,11,7,1,4,0
18,39693.17599236654,65,7,0,4,0
37,66574.32873179723,19,7,0,4,0
38,74300.67730688755,9,10,0,2,0
67,105356.81887972605,27,7,0,2,1
35,63504.189051435766,34,9,0,3,0
41,72849.61002466225,44,7,1,3,0
37,88434.15585238276,68,5,1,4,0
23,47023.81202966414,82,8,1,3,0
51,83210.99046714968,15,12,1,2,0
47,86906.54396007612,51,4,1,2,0
47,87455.25932957983,13,9,1,2,0
27,64270.3030556038,83,7,1,2,0
54,91187.30222029185,49,9,0,1,1
21,33769.95087269516,70,10,1,2,0
45,90334.31532301096,56,6,1,1,0
64,85336.54606981312,76,11,1,2,0
26,54226.354652390335,51,6,1,4,0
31,49657.24149980642,37,9,1,2,0
39,66158.61653407008,17,9,1,4,0
31,60487.6241030348,58,7,0,4,0
19,46013.57215450273,87,7,1,3,0
38,69819.20754235284,90,8,0,5,0
25,66137.11269058648,29,12,0,1,0
43,76135.3430151398,33,7,0,4,0
26,48758.43364709351,60,4,1,5,0
56,96840.87168288357,91,7,0,5,0
28,65494.70488924641,89,7,1,2,0
34,48523.921848630074,55,7,0,2,0
47,82374.00069849858,10,5,1,2,1
23,54611.72742310898,47,7,1,3,0
40,65024.364966400084,23,6,0,4,0
53,97357.06813311619,85,7,0,2,0
18,40099.44412967473,21,7,1,3,0
40,69255.76453471542,13,11,1,4,0
41,67469.28175716131,33,10,1,3,0
47,76555.79047581468,24,8,0,5,0
23,36637.24913104798,11,11,1,4,0
22,31999.491174057057,17,7,1,1,0
44,88745.05063224972,68,11,0,3,0
41,60730.386516816725,47,4,1,2,0
41,59286.076505436926,25,6,0,3,0
42,48866.09886396285,94,8,1,5,0
29,48410.38252310498,73,12,1,5,0
40,54769.10206592502,21,6,0,3,0
41,85620.15160136369,84,6,0,2,0
29,64898.170893426344,83,8,0,2,0
60,85118.49654822276,83,10,1,3,0
43,94124.35805344308,12,9,1,1,0
23,57417.65486991595,37,13,1,3,0
45,70751.68616491377,42,8,1,1,0
26,26205.94285126427,17,11,0,2,0
47,99309.42572590742,48,10,1,2,0
51,67304.27533236404,28,11,1,5,0
28,37146.01253043108,41,13,1,4,0
49,89025.70432009641,99,6,0,2,0
42,94797.52406339273,47,12,0,1,0
47,90242.72818510518,18,7,1,3,0
60,97639.0912005236,78,9,1,2,0
35,67947.54341665286,99,5,0,3,0
28,62134.15558780308,71,8,1,4,0
27,59989.28589786765,13,10,1,3,0
28,56411.91423969375,82,9,0,3,0
37,65442.011039518766,13,2,1,3,1
42,69774.06872100478,31,8,1,5,0
41,61660.35411133324,2,7,0,5,0
47,73593.24923133226,16,4,1,3,0
38,48670.43185804614,9,8,1,2,0
55,85016.60373205249,73,13,1,3,0
34,50914.088928490826,38,5,0,2,0
70,92964.10682784229,75,4,0,3,0
45,75798.94151153478,54,9,1,3,0
27,66320.02286344599,56,4,0,1,0
25,59183.166060023126,86,6,1,2,0
43,55894.993963768226,97,8,0,3,0
35,52103.71863429662,87,11,0,5,0
46,84607.71187988216,45,8,1,3,0
43,61775.1260646169,34,4,1,4,0
37,62153.66850002976,9,6,1,2,0
27,57900.52099024552,88,9,0,3,0
19,33116.555451363645,8,9,1,3,0
32,59453.7550614596,7,6,0,4,0
48,64259.74505081795,36,10,1,1,0
40,61986.323560487865,18,6,1,3,0
23,50797.81934142537,3,4,0,2,1
40,52070.06266468331,28,4,1,2,1
42,74804.74737960398,70,8,0,5,0
27,52203.62201073319,44,9,1,2,0
39,72324.89954417148,21,10,1,2,0
38,67839.14134064662,28,13,1,3,0
24,62441.40429973844,54,11,1,5,0
42,71652.24502647907,54,8,0,3,0
44,68505.94458874747,65,11,0,4,0
50,81222.97503032284,21,1,0,5,0
50,85432.98029036388,99,14,1,2,0
21,45688.60070325704,13,10,1,3,0
26,51605.916912038825,57,9,0,3,0
44,65780.08312193245,49,10,1,4,0
44,66170.99082449052,54,6,0,1,0
44,58773.947282003064,10,12,0,2,0
70,121495.76743186939,53,6,1,4,0
44,60361.36764608715,44,11,1,3,0
51,74270.94802204093,47,7,1,3,0
49,71615.92734430803,53,7,0,3,0
45,82949.24376944441,74,7,1,2,0
34,57850.50321707972,46,3,0,3,0
47,88877.42072673734,13,5,0,3,1
28,46865.09375756131,37,7,1,5,0
35,64789.941622238024,24,14,1,2,0
32,50046.529467402426,2,9,0,5,0
38,87051.49127773388,86,4,0,3,0
65,86124.01580970487,81,12,1,1,0
18,44698.20710227027,14,9,0,4,0
46,81537.76880932099,10,5,1,1,1
18,45737.99097451498,35,5,1,5,0
32,56547.123411222914,25,7,0,5,0
51,79901.79300266574,3,13,1,2,0
38,66038.1147197911,17,10,1,2,0
25,48529.979983715115,12,10,0,3,0
29,64438.79116794909,54,5,1,3,0
46,97305.23001591352,24,7,0,3,0
29,49225.08214992167,29,5,1,2,0
40,54301.970204209225,43,11,0,3,0
38,64717.17951648745,25,7,1,2,0
30,81797.09337654318,60,9,0,4,0
63,87563.25432030269,90,7,0,4,0
45,90391.16805444067,65,8,1,3,0
18,58377.0081407644,84,6,0,5,0
40,62464.11758292005,28,2,0,2,1
30,61689.83079185276,16,6,0,1,1
48,93883.96623128538,47,6,0,3,0
28,49808.72259012513,81,12,1,3,0
36,61164.19639897638,92,5,1,3,0
44,66983.19086051357,58,5,0,5,0
48,67452.43269307133,76,6,1,5,0
23,41107.224549339924,27,6,1,3,0
33,47360.59733237744,53,9,1,4,0
32,58740.83468259226,42,12,0,1,0
30,48300.26768941358,59,10,1,2,0
59,93137.85911790747,47,5,1,4,0
42,54841.04353796373,94,10,1,3,0
22,49708.80232214457,34,12,1,3,0
49,87135.28961608926,37,4,0,2,0
63,75662.64357428544,6,8,1,3,0
50,83740.56569847572,7,8,1,2,1
19,55076.68992473292,96,7,1,3,0
32,46303.58981308794,96,6,0,2,0
53,100325.72386837704,25,6,1,1,0
29,58990.19009366045,33,8,1,2,0
43,64549.88144241591,55,9,1,2,0
47,75842.30922342294,58,11,1,5,0
26,56783.26912521722,7,11,1,1,0
37,65160.05391412412,57,6,0,2,0
18,46987.55992446369,12,8,1,3,0
25,40793.264069206336,16,10,0,3,0
34,62493.60824036078,80,6,1,1,0
23,33462.8550309502,43,7,0,1,0
57,87287.739386513,77,6,1,5,0
20,34960.9235853521,7,8,1,4,0
32,51044.70057410233,51,8,1,3,0
39,79160.93175210437,73,13,0,3,0
55,96913.10120594269,32,5,1,2,0
20,50091.38120907177,75,9,0,2,0
51,70276.87235327422,8,8,0,3,0
38,62435.915503051976,97,11,0,5,0
26,63330.976999791834,87,7,1,2,0
43,73017.16913639905,89,8,1,4,0
40,91193.29539981694,72,4,1,1,0
30,59933.178393943715,45,7,1,2,0
38,67520.49116490032,86,8,0,1,0
33,56508.83535797498,59,12,1,1,0
39,68135.40904782282,4,8,0,5,0
45,72475.30163619456,67,7,0,3,0
57,95481.08676688591,29,9,0,1,0
23,57167.02316794584,29,9,1,5,0
63,87740.10539492051,98,10,1,5,0
18,28287.67046442222,98,4,0,4,0
36,44837.94626896703,28,5,1,5,0
45,79079.91326912543,77,10,1,2,0
41,58166.33393826126,79,13,0,4,0
30,34471.09407047517,87,13,1,4,0
35,65885.78604530964,44,7,1,5,0
32,83329.99517432791,90,8,1,4,0
30,55939.29088460107,4,6,1,2,0
48,85984.90774451641,90,10,1,4,0
42,71218.29358547565,9,8,0,2,1
29,53811.10346808858,5,5,1,2,0
48,86790.76482987768,56,10,1,1,0
41,66297.25455811349,96,13,0,5,0
47,79073.92314071904,84,3,1,2,0
45,77216.97806196014,50,10,1,3,0
28,46919.09546356951,75,1,0,3,0
31,67120.42349536522,15,5,1,5,0
46,73450.4024330459,32,10,1,2,0
45,66442.54840507155,28,13,0,4,0
37,69765.09843570404,22,11,0,5,0
39,57815.32018208963,17,6,0,3,0
53,83881.81157369129,59,9,1,3,0
30,55908.810033557966,90,11,1,4,0
44,83658.95565831578,71,8,1,5,0
35,66746.98232879952,57,6,0,4,0
35,61749.73041254856,26,4,0,2,1
51,89377.66299200288,25,10,0,5,0
47,90302.07549017313,10,13,1,3,0
47,81978.10306351862,45,6,1,3,0
53,83703.5261984338,83,6,1,4,0
38,52481.6376764984,11,8,0,2,0
46,64548.863369246275,77,8,1,4,0
34,57747.752956453325,53,10,1,3,0
41,63104.87797840717,72,7,0,5,0
36,61330.286970145535,68,8,1,2,0
39,67366.49924897107,95,8,0,3,0
45,79296.9275435673,28,13,0,4,0
28,52895.01221940909,75,8,0,1,0
63,100465.01643826201,65,6,1,1,0
25,50644.74414810121,49,9,1,5,0
23,27845.33433646129,47,6,0,2,0
51,71806.64606181245,52,7,0,5,0
47,74959.12444278385,88,6,1,2,0
45,61903.05257158892,54,12,1,3,0
45,79999.28729996204,60,4,1,4,0
37,79707.50832343698,57,7,0,4,0
27,64587.61851697317,47,6,0,3,0
38,63465.57129069792,31,10,0,3,0
29,69707.26136849952,46,3,0,4,0
49,80286.67457202112,26,7,1,2,0
36,59829.1402888196,5,6,1,3,1
28,47465.9733645906,84,7,1,2,0
34,57775.30313511872,52,5,1,3,0
42,66518.2318145877,75,10,0,2,0
31,58904.16222375487,54,8,0,2,0
28,55205.73981049865,33,6,1,3,0
40,68030.46020153415,50,7,0,1,0
40,72369.3816974635,38,6,0,1,0
31,69106.4627478634,27,14,0,4,0
32,67895.54135441323,98,9,0,3,0
40,53151.020315500966,15,7,0,5,0
20,20000.0,96,8,1,4,0
21,54543.19911239274,61,8,1,1,0
29,41131.21301584579,21,12,0,3,0
35,59752.345981073166,46,10,0,1,0
