Age,Annual_Income,Spending_Score,Purchase_Amount,Churn
43,75861.77547531642,44,3801.4851946228596,0
36,77294.1664047013,49,4242.864753721241,0
45,55014.324261808586,75,4636.211700945363,0
56,,61,4960.618923670928,0
35,50493.57430878173,67,4239.336543994658,0
35,52128.74616235304,6,1410.4418309411985,1
56,,9,1981.9173568565707,0
47,62760.09230320184,6,1819.6138837970548,0
32,53885.21627944827,73,4425.460465421561,0
44,59490.49883588962,95,5000.0,0
32,56104.56825779839,32,2999.6111189635817,0
32,,41,3056.935319179467,0
40,60610.5195313359,76,5000.0,0
18,27524.36337958402,8,928.3057441327194,1
18,30832.286694316674,72,3976.5593686888133,0
31,59753.91225825756,50,3434.006641232914,0
25,50009.17187624381,92,5000.0,0
41,54424.44755201449,62,4195.5006779977775,0
27,48393.32305429226,84,4959.144524226773,0
21,47713.87123371789,62,4128.334933669881,0
55,64305.94718878628,7,1688.7420576813563,0
35,62433.601923799346,75,4857.473451529347,0
38,53973.76241054153,84,4980.354849668752,0
20,44705.986685931595,80,4748.37122153218,0
31,44567.408434574834,4,1346.9085756233603,1
39,43751.17899335481,6,1432.3829738647057,1
24,27524.575621168373,58,3199.902361688027,0
42,65880.84946661381,22,2374.155074064291,0
30,53597.22501721482,26,2336.3013441156177,0
34,46756.83374895591,3,1234.3045627991287,1
30,57385.92458777374,41,3205.7964523864393,0
60,70384.79937731041,60,4413.90935582471,0
37,58739.20201352683,14,1877.569235369652,0
25,32889.83800237543,75,3992.6438653922455,0
47,64881.63892197841,82,5000.0,0
23,43073.98671316414,12,1431.7617811654184,1
40,54395.866347160474,87,5000.0,0
18,32754.444557701747,12,1399.7789227413364,1
22,51462.92809214441,13,1851.9544079638454,0
40,57231.08130476851,25,2469.3890502199847,0
46,78556.92112065142,45,3738.4121401209595,0
40,51702.93145342382,19,2158.6544715069954,0
36,63498.04177915283,55,3879.1727546444627,0
34,70215.686206579,45,3804.2591362170983,0
20,,8,1045.2661509384232,1
29,41831.04744529523,93,5000.0,0
32,59170.7212718054,53,3692.3459664276197,0
50,72969.54613957007,55,4098.937712228052,0
42,,32,2844.042253377952,0
18,30560.148132841794,51,3053.250554148002,0
41,65065.897874728995,44,3325.8315700411354,0
33,53043.227646079205,82,5000.0,0
29,61477.820616598074,70,4587.136784671063,0
45,71544.20843301213,18,2466.458753916307,0
50,78376.02662075202,83,5000.0,0
49,69681.23033877532,22,2613.2614450832175,0
27,42523.93775927507,37,3085.210400564154,0
34,51474.41812180379,96,5000.0,0
41,68144.52142378296,56,3985.32847326916,0
49,,59,4326.257073771764,0
32,,3,1082.0971763389093,1
35,77754.00798645438,28,3024.6736777657275,0
24,,74,4524.468005192403,0
23,39339.76467832159,35,2412.9483036610172,0
47,83412.13922163945,61,4689.4064349795135,0
54,75719.24626978449,93,5000.0,0
37,39018.75464822146,54,3140.013756840297,0
50,64919.13689082596,63,4236.403309637653,0
42,46692.08078974144,79,4255.60093501592,0
30,47484.865159586916,97,5000.0,0
42,65584.18379189551,7,1869.1785886039338,0
56,98964.37312275282,76,5000.0,0
37,62669.273737641626,49,3739.4023815053015,0
56,80008.99471191136,94,5000.0,0
18,44894.05581183489,85,4777.90356234645,0
47,49288.64690992115,31,2643.3515078558075,0
39,64156.14558108566,58,3989.822898377272,0
34,63508.65193886967,61,4205.7744953470265,0
39,47014.137542201584,24,2135.7353967300805,0
18,48037.54043206929,20,1999.1111351965083,0
35,60384.964074944146,37,3017.615649105634,0
42,61247.120860991985,4,1498.928903637113,1
55,87327.81866106285,92,5000.0,0
31,74906.92857804397,20,2503.949298547787,0
28,50418.66255058495,60,3910.7262580810393,0
31,54682.20586300336,24,2264.334365053907,0
48,68006.39100459756,50,3579.9830261342827,0
41,55701.55630535208,49,3655.896413495917,0
31,60503.358165442456,51,3779.9962110731603,0
44,59239.161740911324,96,5000.0,0
39,62515.662372193925,36,2913.7173214441395,0
49,69023.42553234883,98,5000.0,0
29,,66,4242.5198430209075,0
34,59136.62105286948,79,5000.0,0
33,,34,2953.441804731689,0
20,33899.83601145253,36,2322.340442102672,0
41,,6,1881.1964092104763,0
41,54412.362842176924,39,2995.7497524543546,0
38,56157.067399238884,42,3344.9378744436844,0
35,60773.00493044852,58,4139.789858727802,0
21,47769.88616645352,12,1690.9141522437255,0
32,44178.34675822375,3,1192.4198794092629,1
33,63296.0592010566,18,2217.1864630716614,0
28,62156.37858804951,40,3240.8486024454924,0
36,62334.349032237005,21,2521.152014570335,0
42,84167.95812558066,15,2438.8931353526764,0
60,,97,5000.0,0
40,50553.45296688583,99,5000.0,0
41,46412.797510957214,26,2149.1400152628153,0
37,74360.44311489182,8,2042.568012724493,0
18,43143.65656354058,94,4998.849430026737,0
37,58844.15329089545,87,5000.0,0
38,63399.68626319821,42,3179.0347320274286,0
67,84145.10952701623,44,3856.8889136418416,0
35,,14,2634.3830541958946,0
41,65492.21181975228,78,4890.408435582471,0
37,60493.94794604893,2,1154.4744104892711,1
23,49857.666238986916,37,2795.4114607610377,0
51,81010.09231736713,69,4793.978789335925,0
47,73638.84024279131,38,3041.320778567026,0
47,63495.25544554688,41,3357.6385927967676,0
27,52114.68357135996,62,4063.3577507621417,0
